extradollars,extradonors,somesuc,strength,percbacked,matchnr,goal,anyfacebooklikes,round
0,1,1,0,0,87,1000,0,1
400,5,1,1,10,87,1000,1,1
0,0,0,0,0,88,1000,0,1
100,4,1,1,10,88,1000,0,1
0,0,0,0,0,89,1000,1,1
0,0,0,1,10,89,1000,0,1
0,0,0,0,0,90,1000,1,1
0,1,1,1,10,90,1000,0,1
0,0,0,0,0,91,1000,0,1
0,0,0,1,10,91,1000,0,1
0,0,0,0,0,92,1000,1,1
0,1,1,1,10,92,1000,1,1
0,1,1,0,0,93,1000,1,1
0,0,0,1,10,93,1000,0,1
0,1,1,0,0,94,1000,1,1
0,1,1,1,10,94,1000,0,1
0,1,1,0,0,95,1000,0,1
0,0,0,1,10,95,1000,1,1
1000,21,1,0,0,96,1000,1,1
0,0,0,1,10,96,1000,1,1
0,1,1,0,0,97,1000,1,1
100,1,1,1,10,97,1000,1,1
0,0,0,0,0,98,1000,0,1
0,0,0,1,10,98,1000,0,1
0,0,0,0,0,99,1000,0,1
0,1,1,1,10,99,1000,0,1
0,1,1,0,0,100,1000,1,1
0,0,0,1,10,100,1000,0,1
100,2,1,0,0,1,500,1,2
300,14,1,1,1,1,500,1,2
0,2,1,4,4,1,500,1,2
0,0,0,0,0,2,500,1,2
800,13,1,1,1,2,500,1,2
100,2,1,4,4,2,500,1,2
400,14,1,0,0,3,500,1,2
0,0,0,1,1,3,500,1,2
0,0,0,4,4,3,500,0,2
0,0,0,0,0,4,500,1,2
0,0,0,1,1,4,500,0,2
0,1,1,4,4,4,500,1,2
0,0,0,0,0,5,500,0,2
0,0,0,1,1,5,500,1,2
100,1,1,4,4,5,500,1,2
0,0,0,0,0,6,500,0,2
0,0,0,1,1,6,500,0,2
100,12,1,4,4,6,500,1,2
0,0,0,0,0,7,600,1,2
300,5,1,1,1,7,600,1,2
300,13,1,4,4,7,600,1,2
0,1,1,0,0,8,1000,1,2
0,1,1,1,1,8,1000,1,2
0,0,0,4,4,8,1000,1,2
0,1,1,0,0,9,1000,0,2
500,5,1,1,1,9,1000,1,2
0,1,1,4,4,9,1000,1,2
0,0,0,0,0,10,1100,1,2
0,1,1,1,1,10,1100,1,2
0,1,1,4,4,10,1100,1,2
0,0,0,0,0,11,1500,0,2
0,2,1,1,1,11,1500,1,2
1600,30,1,4,4,11,1500,1,2
0,0,0,0,0,12,1500,1,2
0,0,0,1,1,12,1500,1,2
200,5,1,4,4,12,1500,1,2
0,0,0,0,0,13,1700,0,2
1800,29,1,1,1,13,1700,1,2
0,2,1,4,4,13,1700,0,2
0,0,0,0,0,14,2000,1,2
400,6,1,1,1,14,2000,1,2
0,0,0,4,4,14,2000,1,2
2200,3,1,0,0,15,2500,1,2
0,0,0,1,1,15,2500,0,2
400,16,1,4,4,15,2500,1,2
0,1,1,0,0,16,2500,1,2
500,12,1,1,1,16,2500,1,2
600,17,1,4,4,16,2500,1,2
0,1,1,0,0,17,2500,1,2
200,3,1,1,1,17,2500,1,2
100,2,1,4,4,17,2500,1,2
0,0,0,0,0,18,3000,1,2
100,2,1,1,1,18,3000,1,2
1400,31,1,4,4,18,3000,1,2
0,0,0,0,0,19,3000,1,2
0,0,0,1,1,19,3000,0,2
1000,10,1,4,4,19,3000,1,2
0,1,1,0,0,20,3000,1,2
0,1,1,1,1,20,3000,1,2
400,11,1,4,4,20,3000,1,2
0,0,0,0,0,21,3000,0,2
2100,22,1,1,1,21,3000,1,2
100,2,1,4,4,21,3000,1,2
0,0,0,0,0,22,3000,1,2
100,20,1,1,1,22,3000,1,2
1700,25,1,4,4,22,3000,1,2
0,0,0,0,0,23,3500,0,2
100,1,1,1,1,23,3500,1,2
1900,37,1,4,4,23,3500,1,2
0,0,0,0,0,24,3700,1,2
0,1,1,1,1,24,3700,1,2
1000,12,1,4,4,24,3700,1,2
300,16,1,0,0,25,3900,1,2
300,4,1,1,1,25,3900,1,2
1000,17,1,4,4,25,3900,1,2
0,0,0,0,0,26,4000,1,2
0,0,0,1,1,26,4000,0,2
1800,38,1,4,4,26,4000,1,2
0,0,0,0,0,27,5000,1,2
0,2,1,1,1,27,5000,1,2
200,6,1,4,4,27,5000,1,2
0,0,0,0,0,28,5000,1,2
1000,8,1,1,1,28,5000,1,2
2200,25,1,4,4,28,5000,1,2
0,0,0,0,0,29,5000,0,2
100,2,1,1,1,29,5000,1,2
0,3,1,4,4,29,5000,1,2
0,0,0,0,0,30,5000,1,2
400,15,1,1,1,30,5000,1,2
0,0,0,4,4,30,5000,1,2
100,1,1,0,0,31,5000,1,2
100,6,1,1,1,31,5000,1,2
1300,12,1,4,4,31,5000,1,2
