C,E1
0,0
0,0.09
0,0.16
0.01,0.26
0.08,0.35
0.1,0.4
0.17,0.47
0.19,0.59
0.21,0.7
0.29,0.8
0.33,0.94
0.38,1.02
0.38,1.11
0.38,1.12
0.42,1.16
0.46,1.26
0.53,1.36
0.54,1.41
0.61,1.45
0.7,1.48
0.7,1.56
0.77,1.61
0.78,1.8
0.85,1.98
1.11,2.49
