C,E1
0,0
0.3,0.39
0.58,0.68
0.79,0.94
0.85,1.02
0.98,1.27
1.05,1.63
1.15,1.84
1.26,1.97
1.31,2.03
1.46,2.09
1.58,2.22
1.65,2.26
1.74,2.32
